miu	rrflux_weight	rrfulx_flux
0.1	27.013975389	27.0139759462
0.2	25.117387616	25.1173880487
0.3	25.1820148229	25.1820137795
0.4	25.4739605656	25.4739602824
0.5	25.5073653222	25.5073661115
0.6	25.8951194152	25.8951192512
0.7	26.3491945716	26.3491943848
0.8	26.5133603451	26.5133592491
0.9	27.0329292134	27.0329298836
1.0	26.7155009642	26.7155016294
2.0	15.1381417898	15.1381417667
3.0	11.7370820177	11.7370820113
4.0	10.8490212113	10.849021207
5.0	10.7181146454	10.7181146456
6.0	10.7777912905	10.7777912937
7.0	10.8787149318	10.8787149314
8.0	11.0017926239	11.0017926235
9.0	11.0685390953	11.0685390956
